sID,PosX,PosY,PosZ,Area,Intensity_Center_Ch_01,Intensity_Center_Ch_02,Intensity_Max_Ch_01,Intensity_Max_Ch_02,Intensity_Mean_Ch_01,Intensity_Mean_Ch_02,Intensity_Median_Ch_01,Intensity_Median_Ch_02,Intensity_Min_Ch_01,Intensity_Min_Ch_02,Intensity_StdDev_Ch_01,Intensity_StdDev_Ch_02,Intensity_Sum_Ch_01,Intensity_Sum_Ch_02,Sphericity,Volume
675,368.723,171.316,12.9888,287.149,324.737,336.585,385,431,323.205,350.916,319.82,344.859,282,283,24.2635,32.3885,69489,75447,7733.54,311.174
676,338.5,1.1142,15.1053,73.1034,286.694,334.772,389,401,318.933,327.633,312.688,322.953,278,266,35.7063,34.9318,9568,9829,5761.67,25.7042
677,308.037,146.451,15.6842,999.704,1966.98,1063.4,2711,1547,654.848,420.509,453.945,328.18,273,236,454.756,215.193,1147290,736731,9286.13,2659.7
678,308.731,198.088,14.27,190.827,389.87,342.093,425,428,351.09,321.708,341.813,315.988,304,273,29.7577,33.4025,50557,46326,8972.53,210.672
679,56.1849,275.39,9.67739,141.541,268.844,337.01,303,421,282.418,373.516,282.891,372.66,267,322,6.98384,20.7457,25700,33990,6874.69,90.2565
680,28.8684,284.676,9.4305,105.897,281.697,380.336,293,418,277.625,376.681,275.895,377.688,264,332,7.53038,20.707,19989,27121,8959.38,86.8997
681,3.13841,295.319,8.46586,71.354,290.933,378.549,306,496,284.842,386.711,282.938,374.5,270,334,7.94903,37.854,10824,14695,7066.57,33.6678
682,19.7278,304.422,9.64213,427.866,324.545,540.646,351,653,292.131,423.536,286.965,399.586,254,327,18.9047,72.2449,98156,142308,6696.45,456.039
683,1.12302,384.492,8.84893,44.4812,296.22,365.727,306,418,290.9,369.3,288.984,363.871,273,325,8.96076,25.1777,5818,7386,7551.48,18.3057
684,50.1122,400.797,13.6394,1366.96,456.706,441.847,702,638,366.927,363.154,336.668,350.809,267,249,79.725,62.352,727984,720498,7223.44,2917.6
685,6.29873,406.011,13.0721,733.727,1684.39,552.93,3951,1226,847.799,399.524,492.273,335.375,277,226,761.464,171.068,715542,337198,7733.28,1270.93
686,195.294,280.544,14.2793,789.965,440.053,1122.6,607,1897,328.311,610.315,299.148,484.75,252,283,72.0948,315.581,326998,607874,8189.88,1547.4
687,212.242,386.101,15.982,1134.48,715.899,2086.52,1054,3260,371.98,710.079,316.5,503.949,254,283,141.405,520.04,731685,1396730,8699.25,2915.34
688,198.104,394.347,12.8999,854.326,560.53,1389.89,724,1944,345.104,596.855,305.406,456.188,254,288,92.4039,324.765,366500,633860,7879.93,1642.45
689,221.156,350.036,16.9756,1654.15,507.791,1249.87,838,2456,358.128,677.186,313.313,505.492,254,285,107.69,405.129,976974,1847360,7506.79,4114.52
690,105.247,390.668,13.6524,96.6334,367.468,319.783,424,359,345.233,314.517,336.813,314.848,304,270,28.8047,22.2542,20714,18871,9108.68,77.6511
691,240.866,275.916,9.09304,366.488,315.842,548.099,376,911,291.602,480.477,285.723,446.926,255,314,24.7722,117.358,95354,157116,8269.74,496.138
692,224.965,315.454,8.30893,97.7418,278.441,371.352,285,407,273.981,371.942,273.949,369.703,262,330,6.30481,16.2954,14247,19341,7690.62,61.2825
693,313.46,313.905,9.17417,501.507,431.187,363.308,496,503,361.574,345.364,347.203,338.688,282,264,52.5879,44.1775,169940,162321,7710.91,715.068
694,372.503,349.381,8.38716,179.504,281.238,345.585,309,520,282.906,391.292,281.93,386.523,267,319,8.09337,36.3809,27159,37564,6239.62,111.461
695,369.701,369.066,8.79455,228.716,300.118,391.709,328,552,292.692,389.189,290.895,381.891,269,324,12.3835,39.4573,49465,65773,7863.2,226.786
696,243.153,291.325,11.9085,989.517,670.583,1994.22,843,3059,347.167,676.562,300.016,475.746,254,292,112.875,488.964,439514,856527,7598.1,1938.5
697,262.122,304.175,9.54715,809.128,693.74,2180.36,952,3172,341.616,646.837,296.688,445.688,253,276,110.562,470.658,338541,641015,7841.65,1502.83
698,270.208,336.938,10.1904,636.116,473.655,1225.21,536,1382,327.056,575.556,301.922,475.918,252,293,64.4353,252.377,255431,449509,8545.11,1191.67
699,407.455,340.715,10.455,67.6324,277.519,340.572,287,428,274.675,374.275,273.973,371.809,264,323,5.76831,25.8575,10987,14971,6721.42,28.8203
700,261.194,265.761,12.518,820.161,573.434,1435.49,798,2720,357.959,661.581,321.047,474.648,248,274,101.572,429.201,406284,750895,8549.05,1745.82
